name,publisher,provider,price,category
The Alchemist,HarperCollins,BookSupply Co.,12.99,other
Python Crash Course,No Starch Press,TechBooks Inc.,35.50,computer
One Hundred Years of Solitude,Gabriel Garcia Marquez,Global Reads,15.75,other
Eloquent JavaScript,Marijn Haverbeke,CodeMaster,42.00,computer
The Great Gatsby,Scribner,Classic Books,9.99,other
Clean Code,Robert C. Martin,Programmer's Library,50.00,computer
Sapiens,Yuval Noah Harari,Knowledge Hub,18.25,other
Learning Python,Mark Lutz,O'Reilly Media,60.00,computer
To Kill a Mockingbird,J.B. Lippincott & Co.,Timeless Tales,11.50,other
Django for Beginners,William S. Vincent,WebDev Resources,30.00,computer
The Hitchhiker's Guide to the Galaxy,Douglas Adams,SciFi Central,10.25,other
Automate the Boring Stuff with Python,Al Sweigart,Practical Programming,28.75,computer
1984,George Orwell,Dystopian Reads,8.99,other
Head First Python,Paul Barry,O'Reilly Media,38.00,computer
The Lord of the Rings,J.R.R. Tolkien,Fantasy Realm,25.00,other
Cracking the Coding Interview,Gayle Laakmann McDowell,Interview Prep,49.99,computer
Pride and Prejudice,Jane Austen,Literary Classics,7.50,other
Flask Web Development,Miguel Grinberg,WebDev Resources,32.00,computer
The Catcher in the Rye,J.D. Salinger,Modern Fiction,9.25,other
You Don't Know JS,Kyle Simpson,Frontend Masters,20.00,computer
The Hobbit,J.R.R. Tolkien,Fantasy Realm,14.00,other
Effective Python,Brett Slatkin,Addison-Wesley,45.00,computer
Brave New World,Aldous Huxley,Dystopian Reads,10.50,other
Grokking Algorithms,Aditya Bhargava,Manning Publications,30.00,computer
Dune,Frank Herbert,SciFi Central,16.50,other
Python Cookbook,David Beazley,O'Reilly Media,55.00,computer
The Road,Cormac McCarthy,Post-Apocalyptic,13.00,other
Two Scoops of Django,Daniel Roy Greenfeld,Django Books,40.00,computer
Fahrenheit 451,Ray Bradbury,Dystopian Reads,9.50,other
Learn Python the Hard Way,Zed A. Shaw,Learn Programming,25.00,computer
The Old Man and the Sea,Ernest Hemingway,Literary Classics,8.00,other
Fullstack React,Fernando Doglio,React Books,52.00,computer
The Picture of Dorian Gray,Oscar Wilde,Gothic Fiction,11.00,other
Python for Data Analysis,Wes McKinney,O'Reilly Media,48.00,computer
Moby Dick,Herman Melville,Classic Literature,12.00,other
Clean Architecture,Robert C. Martin,Programmer's Library,58.00,computer
Frankenstein,Mary Shelley,Gothic Fiction,7.00,other
Python Machine Learning,Sebastian Raschka,Packt Publishing,40.00,computer
The Odyssey,Homer,Epic Poetry,10.00,other
Hands-On Machine Learning with Scikit-Learn,Aurélien Géron,O'Reilly Media,65.00,computer
Alice's Adventures in Wonderland,Lewis Carroll,Children's Classics,6.50,other
Dive Into Python 3,Mark Pilgrim,Open Source Books,30.00,computer
Don Quixote,Miguel de Cervantes,Classic Literature,17.00,other
Python Pocket Reference,Mark Lutz,O'Reilly Media,22.00,computer
War and Peace,Leo Tolstoy,Historical Fiction,20.00,other
Mastering Django,Nigel George,Django Books,38.00,computer
The Chronicles of Narnia,C.S. Lewis,Fantasy Realm,15.00,other
Python for Kids,Jason R. Briggs,No Starch Press,20.00,computer
Les Misérables,Victor Hugo,Historical Fiction,19.00,other
Building Microservices,Sam Newman,O'Reilly Media,45.00,computer
The Count of Monte Cristo,Alexandre Dumas,Adventure Novels,16.00,other
Learning Flask,Charles Leifer,Packt Publishing,30.00,computer
Wuthering Heights,Emily Brontë,Gothic Fiction,9.00,other
Python Tricks,Dan Bader,Real Python,35.00,computer
Great Expectations,Charles Dickens,Classic Literature,10.00,other
Django REST Framework,Tom Christie,REST API Books,42.00,computer
Jane Eyre,Charlotte Brontë,Romantic Fiction,8.50,other
Python Concurrency,Michael J. Garbriel,O'Reilly Media,48.00,computer
The Divine Comedy,Dante Alighieri,Epic Poetry,14.50,other
Modern JavaScript,Brad Traversy,WebDev Resources,28.00,computer
The Grapes of Wrath,John Steinbeck,American Literature,13.50,other
Python for Everybody,Charles Severance,Open Source Books,20.00,computer
Anna Karenina,Leo Tolstoy,Classic Literature,18.00,other
Web Development with Flask,Michael Herman,Packt Publishing,33.00,computer
Crime and Punishment,Fyodor Dostoevsky,Philosophical Fiction,15.00,other
Python for Finance,Yves Hilpisch,O'Reilly Media,55.00,computer
The Scarlet Letter,Nathaniel Hawthorne,American Literature,7.00,other
Django Channels,Andrew Brookins,Real-time Apps,37.00,computer
The Call of the Wild,Jack London,Adventure Novels,6.00,other
Python for Scientists,John M. Zelle,Scientific Computing,40.00,computer
Dracula,Bram Stoker,Gothic Fiction,10.00,other
React for Beginners,Wes Bos,Frontend Masters,30.00,computer
The Brothers Karamazov,Fyodor Dostoevsky,Philosophical Fiction,16.00,other
Python for DevOps,Noah Gift,O'Reilly Media,45.00,computer
Gulliver's Travels,Jonathan Swift,Satirical Fiction,8.00,other
Django Unchained,Quentin Tarantino,Film Scripts,25.00,computer
The Stranger,Albert Camus,Existentialist Fiction,9.00,other
Python for Network Engineers,Kirk Byers,Network Automation,50.00,computer
Winnie-the-Pooh,A.A. Milne,Children's Classics,7.00,other
Learning React,Kirupa Chinnathambi,Addison-Wesley,35.00,computer
The Alchemist,Paulo Coelho,Inspirational Fiction,12.99,persian
The Prophet,Kahlil Gibran,Philosophical Essays,11.50,persian
Rumi: Selected Poems,Jalal al-Din Rumi,Poetry,14.00,persian
Shahnameh: The Epic of the Persian Kings,Ferdowsi,Epic Poetry,28.00,persian
Rubaiyat of Omar Khayyam,Omar Khayyam,Poetry,9.00,persian
The Conference of the Birds,Farid ud-Din Attar,Sufi Literature,13.00,persian
Divan of Hafez,Hafez,Poetry,16.00,persian
Masnavi,Jalal al-Din Rumi,Sufi Literature,22.00,persian
The Blind Owl,Sadegh Hedayat,Modern Persian Literature,10.00,persian
My Uncle Napoleon,Iraj Pezeshkzad,Satirical Fiction,15.00,persian
The Little Black Fish,Samad Behrangi,Children's Literature,8.00,persian
The Book of Kings,Ferdowsi,Epic Poetry,27.00,persian
One Thousand and One Nights,Anonymous,Folktales,20.00,persian
The Secret of the Rose,Shams-ud-Din Hafez,Poetry,11.00,persian
The Garden of Truth,Sanai,Sufi Literature,14.00,persian
The Logic of the Birds,Farid ud-Din Attar,Sufi Literature,12.00,persian
The Mathnawi,Rumi,Sufi Literature,21.00,persian
The Gnostic Gospels,Elaine Pagels,Religious Studies,17.00,other
The Origin of Species,Charles Darwin,Science,19.00,other
Cosmos,Carl Sagan,Science,16.00,other
A Brief History of Time,Stephen Hawking,Science,14.00,other
The Selfish Gene,Richard Dawkins,Science,13.00,other
